epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
33,3823.1,1.08003,1.46218,1.51742,1.13819,0,0.42254,0.44509,0.43105,0.29132,0.42273,0.43704,0.42239,0.23973,1.19476,1.6595,1.837,1.24178,0,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,3922.97,1.05402,1.44946,1.4954,1.12671,0,0.33223,0.51883,0.42344,0.28098,0.32375,0.50489,0.41255,0.24114,1.21792,1.65703,1.85204,1.26369,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,4022.92,1.05498,1.472,1.48245,1.12633,0,0.35405,0.51427,0.39438,0.2645,0.3562,0.49336,0.38609,0.2199,1.23272,1.68008,1.9304,1.26509,0,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,4122.58,1.04216,1.42891,1.44675,1.11582,0,0.32249,0.55117,0.40782,0.26115,0.32083,0.52267,0.39308,0.22665,1.20284,1.62018,1.83456,1.26224,0,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,4229.26,1.03167,1.44223,1.41951,1.11525,0,0.34912,0.49115,0.40236,0.2552,0.33533,0.50281,0.39605,0.21802,1.2185,1.66354,1.9116,1.26266,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,4332.82,1.02437,1.40688,1.39046,1.11577,0,0.32724,0.5175,0.41374,0.26603,0.31728,0.50356,0.39573,0.22681,1.19521,1.67399,1.87993,1.25158,0,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
39,4438.5,1.00086,1.39238,1.37959,1.09063,0,0.37904,0.47457,0.40644,0.26989,0.38995,0.46179,0.40544,0.23389,1.21397,1.69939,1.86092,1.27836,0,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
40,4542.37,0.99855,1.37495,1.34733,1.08988,0,0.38602,0.4582,0.41834,0.27606,0.40388,0.41387,0.4071,0.23826,1.19926,1.61858,1.87722,1.27139,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
41,4644.71,0.99919,1.36738,1.3562,1.09306,0,0.37151,0.47243,0.40596,0.26366,0.36767,0.4644,0.39119,0.2238,1.19573,1.60808,1.90374,1.24804,0,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
42,4751.91,0.99083,1.35704,1.31967,1.0885,0,0.37061,0.50559,0.43937,0.2898,0.36752,0.50141,0.43094,0.24556,1.20309,1.66459,1.95623,1.27224,0,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647,0.025941,0.008647
